block_number,transaction_hash,transaction_index,log_index,pool_id_or_address,quote_symbol,direction,quotron_amount_wei,quotron_amount
35000327,0xeaa4a6808f6174534ab6d04c394a9a1e61e5fc7803b26bbcdeaa01525c0972c0,2,11,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,27398318997848991,0.027398318997848991
35000327,0xeaa4a6808f6174534ab6d04c394a9a1e61e5fc7803b26bbcdeaa01525c0972c0,2,14,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,53256150826789468,0.053256150826789468
35000327,0xeaa4a6808f6174534ab6d04c394a9a1e61e5fc7803b26bbcdeaa01525c0972c0,2,18,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,sell-quotron,708546833670782459,0.708546833670782459
35000327,0xeaa4a6808f6174534ab6d04c394a9a1e61e5fc7803b26bbcdeaa01525c0972c0,2,21,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,123147521079554828,0.123147521079554828
35000471,0x2becb240e9dbc355bccef6527f486c8e35d4170e40483e6f653f7a88514be844,9,21,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,sell-quotron,2088148657863993310,2.08814865786399331
35000862,0xbec97e202fadfd4ac2ae18f0e45bb42568b33aa4151e5bd66743cde5cb567bdd,2,6,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,817234319346013938,0.817234319346013938
35000862,0xbec97e202fadfd4ac2ae18f0e45bb42568b33aa4151e5bd66743cde5cb567bdd,2,12,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,99663393852806503,0.099663393852806503
35000862,0xbec97e202fadfd4ac2ae18f0e45bb42568b33aa4151e5bd66743cde5cb567bdd,2,18,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,78919904886812237,0.078919904886812237
35000862,0xbec97e202fadfd4ac2ae18f0e45bb42568b33aa4151e5bd66743cde5cb567bdd,2,24,0xbc8daf9854280230ad91c55d3a18c2d239a73b3d1dc9824eb0956c754d99e9f1,USDG,sell-quotron,5112872713098325,0.005112872713098325
35000862,0xbec97e202fadfd4ac2ae18f0e45bb42568b33aa4151e5bd66743cde5cb567bdd,2,35,0xbc8daf9854280230ad91c55d3a18c2d239a73b3d1dc9824eb0956c754d99e9f1,USDG,sell-quotron,3107896834661739,0.003107896834661739
35000862,0xbec97e202fadfd4ac2ae18f0e45bb42568b33aa4151e5bd66743cde5cb567bdd,2,44,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,423707227901399,0.000423707227901399
35000863,0xff7acb6fe96e00cf00c3f004de3a4d3b73cf4fc6070f95a2d6683892362bf9bb,11,50,0x6598930795838a2dff245ef362d9132963c9e3bce815bd346edead74268d7c5c,USDG,sell-quotron,36383147164029987,0.036383147164029987
